"","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RH","SR","TOUT"
"2011-11",0.612,5.33461538461538,3.12307692307692,8.45769230769231,52.3,76.1333333333333,17,713.306666666667,37.8,0.424,25.2663333333333
"2011-12",0.83258064516129,15.1125,29.425,44.35625,27.0333333333333,69.3870967741936,22.6451612903226,714.3,59.0645161290323,0.293225806451613,18.0251612903226
"2012-01",0.697096774193548,7.4258064516129,26.1967741935484,33.6225806451613,40.0322580645161,74.9677419354839,20.7741935483871,720.903210454839,42.4838709677419,0.391612903225806,22.1493548387097
"2012-02",0.805555555555556,7.62962962962963,23.2666666666667,30.8962962962963,35.2962962962963,60.3333333333333,16.25,687.739271060714,62.2222222222222,0.358518518518519,20.0481481481481
"2012-03",0.74741935483871,4.23225806451613,17.0967741935484,21.3290322580645,45.4516129032258,64.0645161290323,19.3548387096774,710.69675903871,47.1612903225806,0.494806451612903,25.9996774193548
"2012-04",0.652333333333333,2.89,11.0033333333333,13.8933333333333,50.7666666666667,56.5,17.5172413793103,709.893318206667,44.9,0.612866666666667,30.1306666666667
"2012-05",0.708709677419355,5.25806451612903,12.0612903225806,17.3193548387097,50.0322580645161,47.4516129032258,15.1666666666667,709.619339722581,48.6774193548387,0.629193548387097,31.4948387096774
"2012-06",0.742,48.7766666666667,9.48,58.2566666666667,50.6666666666667,38.5,14.2857142857143,709.579984883333,37.7666666666667,0.664133333333333,33.7273333333333
"2012-07",0.73258064516129,2.24193548387097,8.7,10.941935483871,40.9354838709677,42.4666666666667,15.448275862069,711.541920312903,46.8387096774194,0.596935483870968,32.8167741935484
"2012-08",0.553225806451613,4.67096774193548,8.55806451612903,13.2290322580645,40.6451612903226,32.0322580645161,12.6451612903226,710.535468725806,42.7741935483871,0.669483870967742,33.8835483870968
"2012-09",0.915,2.31785714285714,9.975,12.2928571428571,47.2142857142857,35.9642857142857,16.3157894736842,711.253556267857,51.3214285714286,0.534107142857143,31.0896428571429
"2012-10",0.866538461538461,2.61538461538462,14.2076923076923,16.8230769230769,49.4583333333333,48.8076923076923,20.3076923076923,710.2384464,50.0384615384615,0.381730769230769,28.87
"2012-11",0.785185185185185,7.48148148148148,22.6814814814815,30.162962962963,31.4814814814815,42.0740740740741,21.2222222222222,714.0110959,67.2592592592593,0.186777777777778,21.3351851851852
"2012-12",1.09,6.71612903225806,27.3741935483871,34.0903225806452,41.4838709677419,79.5333333333333,30,710.95482356129,42.9677419354839,0.275290322580645,21.9412903225806
"2013-01",1.07806451612903,10.8645161290323,22.9161290322581,33.7806451612903,37.8064516129032,45.5483870967742,20.4666666666667,712.81935483871,46.6451612903226,0.339129032258065,19.3509677419355
"2013-02",0.536071428571429,2.5,14.1642857142857,16.6642857142857,52.0714285714286,70.5357142857143,NA,709.703571428571,42.1428571428571,0.471464285714286,24.2517857142857
